Info 0    [09:51:13.382] Starting TS Server
Info 1    [09:51:13.383] Version: 4.1.3
Info 2    [09:51:13.383] Arguments: /usr/bin/node /usr/local/bin/tsserver --logFile /home/arman/go/src/app/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/126dc2d770105908d828de97b2010f06/tscancellation*
Info 3    [09:51:13.383] Platform: linux NodeVersion: 10 CaseSensitive: true
Info 4    [09:51:13.383] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [09:51:13.427] Search path: /home/arman/go/src/app
Info 6    [09:51:13.428] For info: /home/arman/go/src/app/index.js :: No config files found.
Info 7    [09:51:13.436] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [09:51:15.358] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1921.6328120082617ms
Info 9    [09:51:15.358] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [09:51:15.358] 	Files (19)

Info 11   [09:51:15.358] -----------------------------------------------
Info 12   [09:51:15.946] Before ensureProjectForOpenFiles:
Info 13   [09:51:15.946] After ensureProjectForOpenFiles:
Info 14   [09:51:15.947] got projects updated in background, updating diagnostics for /home/arman/go/src/app/index.js
Info 15   [09:51:19.310] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [09:51:19.342] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 31.744837999343872ms
Info 17   [09:51:19.342] Different program with same set of files:: structureIsReused:: 2
Info 18   [09:51:19.344] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [09:51:19.353] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 8.95227400958538ms
Info 20   [09:51:19.353] Different program with same set of files:: structureIsReused:: 2
Info 21   [09:51:19.395] getCompletionData: Get current token: 0.043198004364967346
Info 22   [09:51:19.395] getCompletionData: Is inside comment: 0.17219999432563782
Info 23   [09:51:19.395] getCompletionData: Get previous token 1: 0.1137310117483139
Info 24   [09:51:19.395] getCompletionData: Get previous token 2: 0.15912199020385742
Info 25   [09:51:19.396] getCompletionsAtPosition: isCompletionListBlocker: 0.6691229939460754
Info 26   [09:51:19.408] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 27   [09:51:19.409] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 28   [09:51:19.409] getSymbolsFromOtherSourceFileExports: 1.4693769961595535
Info 29   [09:51:19.411] getCompletionData: Semantic work: 15.017676994204521
Info 30   [09:51:19.437] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24.569410994648933
Info 31   [09:51:19.723] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [09:51:19.741] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 18.284019008278847ms
Info 33   [09:51:19.741] Different program with same set of files:: structureIsReused:: 2
Info 34   [09:51:19.742] getCompletionData: Get current token: 0.04807600378990173
Info 35   [09:51:19.742] getCompletionData: Is inside comment: 0.10242199897766113
Info 36   [09:51:19.742] getCompletionData: Get previous token 1: 0.08873799443244934
Info 37   [09:51:19.742] getCompletionData: Get previous token 2: 0.10826699435710907
Info 38   [09:51:19.742] getCompletionsAtPosition: isCompletionListBlocker: 0.020708009600639343
Info 39   [09:51:19.749] getSymbolsFromOtherSourceFileExports: Using cached list
Info 40   [09:51:19.753] getCompletionData: Semantic work: 10.895538002252579
Info 41   [09:51:19.769] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.567811995744705
Info 42   [09:51:19.857] getCompletionData: Get current token: 0.030646994709968567
Info 43   [09:51:19.858] getCompletionData: Is inside comment: 0.1023700088262558
Info 44   [09:51:19.858] getCompletionData: Get previous token 1: 0.08383600413799286
Info 45   [09:51:19.858] getCompletionData: Get previous token 2: 0.08667699992656708
Info 46   [09:51:19.858] getCompletionsAtPosition: isCompletionListBlocker: 0.014913007616996765
Info 47   [09:51:19.864] getSymbolsFromOtherSourceFileExports: Using cached list
Info 48   [09:51:19.866] getCompletionData: Semantic work: 8.119298994541168
Info 49   [09:51:19.885] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.04102200269699
Info 50   [09:51:19.900] getCompletionData: Get current token: 0.03458799421787262
