01 Mar 2021 15:03:44 MSK |             ::1 |      31.764µs | 404 | [GET]     | /1 
01 Mar 2021 15:03:46 MSK |             ::1 |      17.633µs | 404 | [GET]     | /2 
01 Mar 2021 15:04:03 MSK |             ::1 |      29.218µs | 404 | [GET]     | /3 
01 Mar 2021 15:04:04 MSK |             ::1 |       6.006µs | 404 | [GET]     | /4 
01 Mar 2021 17:14:15 MSK |             ::1 |     383.348µs | 200 | [GET]     | / 
01 Mar 2021 17:14:28 MSK |             ::1 |      83.609µs | 200 | [GET]     | / 
01 Mar 2021 17:14:29 MSK |             ::1 |        5.03µs | 404 | [GET]     | /home 
01 Mar 2021 18:14:53 MSK |             ::1 |      20.327µs | 404 | [GET]     | /test 
01 Mar 2021 18:14:56 MSK |             ::1 |       4.125µs | 404 | [GET]     | /test 
01 Mar 2021 18:14:58 MSK |             ::1 |       3.775µs | 404 | [GET]     | /test 
01 Mar 2021 18:15:00 MSK |             ::1 |        6.59µs | 404 | [GET]     | /test 
01 Mar 2021 18:15:01 MSK |             ::1 |       9.312µs | 404 | [GET]     | /test 
01 Mar 2021 18:15:01 MSK |             ::1 |       5.785µs | 404 | [GET]     | /test 
01 Mar 2021 18:15:01 MSK |             ::1 |       6.437µs | 404 | [GET]     | /test 
01 Mar 2021 18:15:04 MSK |             ::1 |      93.057µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:07 MSK |             ::1 |       53.14µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:09 MSK |             ::1 |      41.852µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:10 MSK |             ::1 |      41.592µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:24 MSK |             ::1 |       4.909µs | 404 | [GET]     | /home 
01 Mar 2021 18:15:26 MSK |             ::1 |       65.11µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:26 MSK |             ::1 |      54.076µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:58 MSK |             ::1 |     213.463µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:15:59 MSK |             ::1 |     125.757µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:00 MSK |             ::1 |      91.839µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:00 MSK |             ::1 |      52.148µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:00 MSK |             ::1 |      66.563µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:00 MSK |             ::1 |      49.959µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:01 MSK |             ::1 |      58.037µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:01 MSK |             ::1 |      58.241µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:01 MSK |             ::1 |      72.767µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:01 MSK |             ::1 |      40.872µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:49 MSK |   192.168.0.107 |     235.154µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:50 MSK |   192.168.0.107 |       7.929µs | 404 | [GET]     | /favicon.ico 
01 Mar 2021 18:16:56 MSK |             ::1 |     130.978µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:57 MSK |             ::1 |     109.297µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:58 MSK |             ::1 |      85.103µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:58 MSK |             ::1 |     111.081µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:58 MSK |             ::1 |     107.941µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:58 MSK |             ::1 |      102.76µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:59 MSK |             ::1 |      82.151µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:59 MSK |             ::1 |       73.84µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:59 MSK |             ::1 |      90.086µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:59 MSK |             ::1 |       71.62µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:16:59 MSK |             ::1 |      78.562µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      85.464µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      98.935µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      90.538µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      74.699µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      88.172µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:17:00 MSK |             ::1 |      92.883µs | 200 | [GET]     | /metrics 
